AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
SHN beta-lactamase	0.029587258	0.017702248	0.033602972	0.074569892	0.027515739	0.07684493	0.014995817	0.025780315	0.063662899	0.015637875	0.038253067	0.042125575	0.033269206
SHV beta-lactamase	1.372278279	1.39910555	2.897572928	1.306381598	6.90432155	1.879607267	2.021913268	1.481063291	1.577019541	1.803080993	2.304676618	1.629708919	0.909082998
SHW beta-lactamase	0.642122242	0.295616356	0.105134766	0.230534789	0.265583811	0.464045668	0.178976829	0.049920908	0.267771467	0.15559285	0.282547168	0.075998642	0.114002478
SIM beta-lactamase	0.058590629	0.007802971	0.017583162	0.021704472	0.041739557	0.061861119	0.010525493	0.007131928	0.036010572	0.014464872	0.021755337	0.014161799	0.027493341
SMB beta-lactamase	0.157702148	0.080752299	0.018942085	0.065678421	0.012612461	0.068265339	0.018153998	0.01426834	0.02603677	0.008412063	0.082492477	0.020772746	0.074569892
SME beta-lactamase	0.353616922	0.082082366	0.101893626	0.153151313	0.089316324	0.24054047	0.13996562	0.063163275	0.068166721	0.070454948	0.122192624	0.16955773	0.113759102
SPG beta-lactamase	0.277422614	0.114169966	0.048648064	0.034583762	0.013615498	0.333607376	0.013018385	0.006671637	0.015577978	0.041545492	0.47227598	0.014373894	0.044934747
SPM beta-lactamase	0.129515391	0.052251625	0.025561911	0.066780778	0.102596158	0.081967608	0.031327685	0.029031687	0.073926538	0.067467997	0.074333565	0.065122822	0.048933718
SPN79 beta-lactamase	0.245642695	0.021953171	0.038253067	0.021742232	0.000964325	0.064395796	0.007434944	0.006720594	0.023968894	0.006981606	0.331475162	0.009076416	0.039898106
SPR beta-lactamase	0.587623223	1.056822013	1.142826083	1.238193048	2.054283916	1.191361303	1.60255627	1.72487261	2.47066699	1.527130167	0.928556771	2.274192063	1.231216442
